N	WORD	FREQUENCY	%
808	quickly	12384	0.01
809	developed	12384	0.01
810	lower	12378	0.01
811	worth	12375	0.01
812	included	12351	0.01
813	france	12345	0.01
814	beginning	12320	0.01
815	behaviour	12316	0.01
816	recently	12304	0.01
817	previous	12286	0.01
818	pounds	12280	0.01
819	prime	12263	0.01
820	cup	12262	0.01
821	firm	12259	0.01
822	issues	12254	0.01
823	anyway	12232	0.01
824	cold	12220	0.01
825	energy	12212	0.01
826	treatment	12200	0.01
827	thank	12193	0.01
828	sat	12176	0.01
829	director	12171	0.01
830	hall	12147	0.01
831	wide	12131	0.01
832	levels	12120	0.01
833	scheme	12107	0.01
834	12	12106	0.01
835	choice	12098	0.01
836	significant	12073	0.01
837	income	12050	0.01
838	wall	12034	0.01
839	reported	12015	0.01
840	pressure	11975	0.01
841	established	11955	0.01
842	contract	11931	0.01
843	july	11901	0.01
844	risk	11863	0.01
845	direct	11859	0.01
846	beyond	11830	0.01
847	wish	11828	0.01
848	takes	11823	0.01
849	details	11797	0.01
850	suddenly	11795	0.01
851	continue	11794	0.01
852	technology	11785	0.01
853	spent	11784	0.01
854	forces	11775	0.01
855	ones	11756	0.01
856	won	11734	0.01
857	happy	11731	0.01
858	consider	11728	0.01
859	plans	11711	0.01
860	shows	11664	0.01
861	defence	11653	0.01
862	parts	11648	0.01
863	opened	11614	0.01
864	loss	11602	0.01
865	industrial	11599	0.01
866	activities	11598	0.01
867	produce	11594	0.01
868	soviet	11587	0.01
869	rates	11583	0.01
870	forms	11583	0.01
871	writing	11582	0.01
872	chairman	11572	0.01
873	generally	11568	0.01
874	teachers	11567	0.01
875	floor	11556	0.01
876	looks	11527	0.01
877	sun	11526	0.01
878	activity	11508	0.01
879	appropriate	11505	0.01
880	park	11499	0.01
881	nearly	11494	0.01
882	association	11493	0.01
883	changed	11486	0.01
884	allow	11469	0.01
885	hotel	11447	0.01
886	military	11442	0.01
887	army	11441	0.01
888	sorry	11435	0.01
889	figures	11433	0.01
890	attempt	11432	0.01
891	german	11425	0.01
892	30	11415	0.01
893	paul	11415	0.01
894	original	11393	0.01
895	chief	11371	0.01
896	leading	11355	0.01
897	county	11353	0.01
898	summer	11346	0.01
899	village	11340	0.01
900	difference	11336	0.01
901	hour	11336	0.01
902	meant	11329	0.01
903	numbers	11321	0.01
904	claim	11321	0.01
905	specific	11314	0.01
906	rose	11280	0.01
907	played	11262	0.01
908	basic	11227	0.01
909	relations	11218	0.01
910	potential	11213	0.01
911	dr	11209	0.01
912	garden	11194	0.01
913	reports	11169	0.01
914	professional	11162	0.01
915	arms	11143	0.01
916	fall	11120	0.01
917	cover	11118	0.01
918	product	11113	0.01
919	suggested	11104	0.01
920	ideas	11097	0.01
921	george	11090	0.01
922	stand	11065	0.01
923	male	11048	0.01
924	obviously	11014	0.01
925	unless	11011	0.01
926	appeal	11002	0.01
927	demand	10990	0.01
928	season	10978	0.01
929	access	10940	0.01
930	rules	10935	0.01
931	unit	10921	0.01
932	15	10916	0.01
933	appear	10914	0.01
934	northern	10911	0.01
935	reading	10907	0.01
936	investment	10903	0.01
937	fish	10894	0.01
938	picture	10888	0.01
939	write	10882	0.01
940	page	10876	0.01
941	playing	10875	0.01
942	independent	10855	0.01
943	reasons	10852	0.01
944	effects	10825	0.01
945	benefit	10809	0.01
946	successful	10803	0.01
947	aware	10764	0.01
948	published	10756	0.01
949	yourself	10746	0.01
950	shop	10745	0.01
951	exactly	10729	0.01
952	style	10725	0.01
953	suppose	10712	0.01
954	passed	10712	0.01
955	offered	10710	0.01
956	showed	10705	0.01
957	fell	10702	0.01
958	deep	10700	0.01
959	7	10677	0.01
960	employment	10676	0.01
961	miles	10667	0.01
962	appeared	10666	0.01
963	germany	10635	0.01
964	october	10628	0.01
965	products	10610	0.01
966	popular	10600	0.01
967	science	10597	0.01
968	note	10596	0.01
969	s	10589	0.01
970	window	10588	0.01
971	expect	10586	0.01
972	win	10581	0.01
973	rise	10576	0.01
974	interests	10555	0.01
975	announced	10533	0.01
976	resources	10527	0.01
977	lives	10523	0.01
978	economy	10508	0.01
979	doctor	10496	0.01
980	influence	10486	0.01
981	immediately	10480	0.01
982	commission	10479	0.01
983	blue	10476	0.01
984	maybe	10473	0.01
985	events	10459	0.01
986	prepared	10442	0.01
987	walk	10441	0.01
988	advice	10437	0.01
989	gives	10435	0.01
990	ready	10431	0.01
991	concern	10420	0.01
992	circumstances	10417	0.01
993	sales	10414	0.01
994	limited	10412	0.01
995	september	10408	0.01
996	event	10389	0.01
997	contact	10379	0.01
998	thousand	10373	0.01
999	returned	10373	0.01
1000	charge	10369	0.01
1001	1988	10322	0.01
1002	raised	10315	0.01
1003	america	10302	0.01
1004	ensure	10300	0.01
1005	oil	10277	0.01
1006	lines	10257	0.01
1007	opportunity	10257	0.01
1008	1992	10240	0.01
1009	college	10239	0.01
1010	film	10228	0.01
1011	trust	10198	0.01
1012	james	10197	0.01
1013	january	10178	0.01
1014	standing	10172	0.01
1015	blood	10170	0.01
1016	station	10169	0.01
1017	lay	10162	0.01
1018	married	10149	0.01
1019	goods	10142	0.01
1020	waiting	10127	0.01
1021	carry	10114	0.01
1022	prices	10112	0.01
1023	ah	10091	0.01
1024	designed	10073	0.01
1025	useful	10071	0.01
1026	lack	10068	0.01
1027	conference	10066	0.01
1028	operation	10053	0.01
1029	houses	10044	0.01
1030	follows	10039	0.01
1031	western	10037	0.01
1032	extent	10036	0.01
1033	application	10029	0.01
1034	television	10008	0.01
1035	straight	10007	0.01
1036	richard	9996	0.01
1037	response	9984	0.01
1038	majority	9972	0.01
1039	degree	9972	0.01
1040	hit	9953	0.01
1041	effective	9951	0.01
1042	v	9948	0.01
1043	scottish	9941	0.01
1044	average	9918	0.01
1045	wrote	9909	0.01
1046	york	9906	0.01
1047	region	9898	0.01
1048	traditional	9879	0.01
1049	easily	9877	0.01
1050	closed	9877	0.01
1051	leaving	9872	0.01
1052	glass	9856	0.01
1053	statement	9854	0.01
1054	site	9846	0.01
1055	official	9818	0.01
1056	moving	9817	0.01
1057	places	9812	0.01
1058	accept	9807	0.01
1059	title	9790	0.01
1060	election	9749	0.01
1061	parliament	9746	0.01
1062	lady	9722	0.01
1063	8	9716	0.01
1064	earth	9715	0.01
1065	importance	9712	0.01
1066	jobs	9701	0.01
1067	existing	9679	0.01
1068	stopped	9676	0.01
1069	interesting	9672	0.01
1070	standards	9644	0.01
1071	review	9624	0.01
1072	girls	9621	0.01
1073	considerable	9620	0.01
1074	ireland	9615	0.01
1075	species	9597	0.01
1076	match	9593	0.01
1077	supply	9590	0.01
1078	physical	9578	0.01
1079	eye	9575	0.01
1080	caused	9574	0.01
1081	watch	9557	0.01
1082	follow	9553	0.01
1083	extra	9544	0.01
1084	growing	9539	0.01
1085	attack	9527	0.01
1086	michael	9518	0.01
1087	campaign	9518	0.01
1088	understanding	9508	0.01
1089	heavy	9484	0.01
1090	complex	9470	0.01
1091	housing	9450	0.01
1092	primary	9437	0.01
1093	n	9435	0.01
1094	competition	9433	0.01
1095	speak	9430	0.01
1096	responsible	9429	0.01
1097	river	9418	0.01
1098	p	9409	0.01
1099	software	9405	0.01
1100	november	9399	0.01
1101	break	9397	0.01
1102	december	9372	0.01
1103	mouth	9353	0.01
1104	piece	9350	0.01
1105	medical	9345	0.01
1106	purpose	9341	0.01
